Unnamed: 0,Call Type,Caller Number,Call Time,Call Frequency Per Day,Call Frequency Per Week,Conversation
108,Normal,+1-415-320-3132,08:49:19,3,10,"Same here, but I consider walls and bankers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter"
109,Normal,+1-212-734-1227,15:03:49,5,11,Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar
110,Normal,+1-713-565-3741,11:41:13,1,13,"Sorry, I'll call later"
111,Spam,+1-412-922-3240,12:36:53,2,8,what is your  bank account number?
112,Normal,+1-917-394-7077,13:36:27,1,14,"K, jason says he's donna be around so I'll be up there around  &it;#&it;"
113,Normal,+1-334-669-5056,12:17:31,2,6,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?"
114,Normal,+1-848-971-9200,07:25:12,2,4,Hello! Good week? Fancy a drink or something later?
115,Normal,+1-813-599-9856,08:28:22,2,5,Amazing : Of you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Soon stared The eyes = They see Election results = Lies lets remount Other-in-law = Woman Either Eleven plus two =Twelve plus one Its Amazing... !:-)
116,Normal,+1-678-497-7642,13:48:08,4,8,Well there's still a bit left if you guns want to tonight
117,Normal,+1-848-644-8682,11:39:14,5,8,An... I'm free...
118,Normal,+1-917-286-8251,07:15:08,4,5,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine ""KUDI""yarasu dhina vaazhthukkal. .."
119,Spam,+1-251-548-2530,09:50:51,2,10,"hello sir ,i am from duc bank of india do you have fill application form for loan. i called you for verify your document, tell me your zakhar number and top of your mobile number."
120,Normal,+1-832-659-9115,10:13:40,3,8,"Ah yeah I see that now, be there in a second"
121,Spam,+1-656-755-3489,11:16:44,4,7,Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX
122,Normal,+1-407-950-1598,15:09:23,4,11,Thank you so much for sharing this information with us.
123,Scam,+1-334-938-2733,16:34:39,5,8,URGENT! Your Mobile number has been awarded with a £2000 Bonus Taller Prize. All 09058095201 from land line. Valid 12hrs only
124,Normal,+1-570-611-5783,12:02:01,4,10,Are you this much busy.
125,Normal,+1-412-916-9844,08:55:35,2,6,I want  &it;#&it;  is da:)do you have it?
126,Normal,+1-312-761-3256,11:44:11,5,15,My uncles in Atlanta. Wish you guys a great semester.
127,Normal,+1-848-602-8826,08:45:23,5,9,"Hey, iouri gave me your number, I'm wylie, ryan's friend"
128,Spam,+1-619-501-2280,16:50:55,3,9,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
129,Normal,+1-312-561-5356,19:12:47,2,7,When u ask warren go n pick u for... But i so sign mr had 2 meet left...
130,Normal,+1-614-543-1848,11:24:11,1,9,Two tears waiting for some players
131,Normal,+1-323-623-5002,15:09:48,5,8,Very monday..not week ll be completing..
132,Normal,+1-628-464-2551,15:24:05,1,6,Oh ok i didnt know what you meant. Yep i am baby jontin
133,Normal,+1-407-477-9609,16:39:52,1,15,I will once i get home
134,Scam,+1-305-439-6272,08:20:17,3,5, Your Google account is under investigation for unauthorized access. Please log in immediately and reset your password.
135,Normal,+1-678-332-4659,10:10:36,1,14,"An you please ask much what his price range is, does he want something new or used plus it he only interfered in the blackberry bold  &it;#&it;  or any by"
136,Normal,+1-678-490-7411,07:20:18,2,14,this is a good car but which is very costly.
137,Normal,+1-669-529-3483,07:53:45,4,13,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
138,Normal,+1-657-841-6375,07:07:40,5,7,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
139,Normal,+1-213-622-7311,15:12:49,4,4,Only once then after ill obey all yours.
140,Normal,+1-407-745-3223,21:45:23,2,15,i want to grasp your pretty booty :)
141,Normal,+1-678-737-1754,15:48:08,2,12,I know complain num only..bettr directly go to bsnl offc nd apply for it..
142,Normal,+1-312-225-9244,12:57:24,4,12,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...
143,Normal,+1-754-797-3146,12:22:09,2,5,Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-)
144,Spam,+1-312-223-1629,15:02:29,4,10,Dear Subscriber ur draw 4 £100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062
145,Normal,+1-669-854-3721,07:00:34,5,9,Him... I'm going to wear my sport shoes anyway... I'm going to be late let.
146,Normal,+1-415-576-7282,11:18:31,4,5,K.k:)apo k.good movie.
147,Normal,+1-917-988-8223,09:25:29,2,10,"Response is one of d powerful weapon 2 occupy a place in others 'HEART'... So, always give response 2 who cares 4 U""... Gud night..swt dreams..take care"
148,Normal,+1-754-864-2747,09:46:21,2,9,Would you please confirm me your mobile number?
149,Normal,+1-470-926-5293,09:28:07,5,14,"Sorry, I'll call later"
150,Normal,+1-848-365-8203,09:29:20,4,11,By trip was ok but quite firing for. Ni starts today but it's ok 4 me cos i'm not taking any nodules but just concentrating on my final or project.
151,Normal,+1-570-515-3036,13:01:46,2,5,Not to worry. I'm sure you'll get it.
152,Normal,+1-848-927-2955,19:42:03,2,10,Wounds like something that someone testing me would say
153,Normal,+1-213-608-2941,07:02:58,5,8,Day only joined.so training we started today:)
154,Spam,+1-917-560-2237,14:36:45,3,3,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
155,Normal,+1-954-931-1847,15:14:49,1,14,Happy new year. Hope you are having a good smelter
156,Normal,+1-754-463-9678,16:20:03,4,13,I went to project centre
157,Normal,+1-754-859-6321,08:16:44,4,7,I'm meeting Darren...
158,Normal,+1-213-628-9551,12:54:38,3,3,ARR birthday today:) i wish him to get more oscar.
159,Spam,+1-917-871-6757,17:38:14,5,12,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone
160,Normal,+1-412-502-9489,07:27:55,3,13,Thanks. It was only from tescos but quite nice. All gone now. Speak soon
161,Normal,+1-714-979-4226,15:26:11,1,13,Change again... It's a one next to escalator...
162,Normal,+1-347-615-3124,11:14:46,4,6,Even if he my friend he is a priest call him now
163,Normal,+1-657-797-1108,18:47:56,3,5,"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want"
164,Normal,+1-954-909-1751,07:13:54,1,9,Was i wont believe god.not only jesus.
165,Normal,+1-312-667-1971,07:09:53,4,12,Vice talking to you! please dont forget my six :) i want to see all of you...
166,Normal,+1-251-248-7846,15:21:14,3,11,Ok then no need to tell me anything i am going to sleep good night
167,Normal,+1-281-326-6328,17:11:08,2,14,"You aren't coming home between class, right? I need to work out and shower!"
168,Normal,+1-281-637-2796,11:43:50,2,14,"Ilya, sorry didn't had signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Rugs and songs."
169,Normal,+1-570-300-1582,11:14:38,5,7,My friends use to call the same.
170,Normal,+1-212-537-8559,11:46:54,3,7,Okay... He wait ah
171,Normal,+1-682-362-2848,16:20:06,1,1,here is my new address -apples&pairs&all that malarky
172,Normal,+1-669-547-4100,12:51:33,5,11,"We made it! Eta at taunton is 12:30 as planned, hope that‘s still okday?! Good to see you! :-xx"
173,Normal,+1-682-456-3962,15:37:21,3,15,Watch started.india  &it;#&it;  for 2
174,Normal,+1-412-510-6505,13:42:53,5,14,Ffffffffff. Alright no way I can meet up with you sooner?
175,Normal,+1-713-699-7391,15:53:05,4,9,Black shirt n blue jeans... I thk i c ü...
176,Normal,+1-754-601-8514,10:44:45,4,14,"Funny fact Nobody reaches volcano 2 erupt, tsunamis 2 arise, hurricane 2 sway around no 1 reaches he 2 choose a wife Natural disasters just happens"
177,Normal,+1-678-313-4259,20:34:14,3,8,Only 2% students solved this CAT question in 'am... 5+3+2= &it;#&it;  9+2+4= &it;#&it;  8+6+3= &it;#&it;  then 7+2+5=????? Well me the answer if u r brilliant...thing.i got d answer.
178,Normal,+1-656-473-7833,07:06:15,1,9,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
179,Normal,+1-786-826-3743,11:35:59,1,15,All boys made fun of me today. K i have no problem. I just sent one message just for fun
180,Normal,+1-678-471-4598,19:37:22,4,4,That must need a decent amount of investment?
181,Normal,+1-334-323-5612,12:58:02,1,7,Oh just getting even with u.... u?
182,Normal,+1-678-559-9388,08:38:15,1,1,"Hello, Is per request from  &it;#&it;  Is.5 has been transferred to you"
183,Normal,+1-334-897-5678,11:23:24,1,2,staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323
184,Normal,+1-872-978-2467,08:33:06,1,7,O. Guess they both got screwed
185,Normal,+1-917-377-6064,08:53:16,4,15,Doing project w frens lor.
186,Normal,+1-917-962-5594,17:39:17,3,12,Oh is it? End me the address
187,Normal,+1-937-243-9784,17:52:32,2,7,S...from the training manual it show there is no teach process:)its all about password rest and troubleshooting:)
188,Normal,+1-678-473-2667,07:45:09,2,7,Unni thank you dear for the recharge..Rakhesh
189,Normal,+1-937-862-2710,17:12:40,4,4,That’s huge. To have you decided what product you are going to bring?
190,Normal,+1-251-431-9758,15:48:33,2,10,Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx
191,Normal,+1-858-543-8999,07:21:01,4,5,He'll you pay over like  &it;#&it; yes so its not too difficult
192,Normal,+1-954-973-2843,08:56:02,2,14,Ok lor then we go tog lor...
193,Normal,+1-334-408-5169,13:45:58,2,3,Vol its ok I didn't remember til last note
194,Normal,+1-937-211-3482,08:10:09,4,12,HELLO PEACH! of CAKE TASTS LUSH!
195,Scam,+1-917-281-9204,12:46:23,5,6,"you won a lucky draw for shopping on an flipkard, provide your bank details for deposit your amount towards logistics charge."
196,Normal,+1-415-309-8404,20:30:37,2,6,"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boston. I miss you too ... *teasing kiss*"
197,Normal,+1-570-759-7073,21:26:39,5,10,Can you talk with me..
198,Spam,+1-334-445-3644,11:57:41,3,12,"hello sir, i am from india bank, sir i have call you for your bank account purification do you want verify your account. sir then tell me your zakhar card number and pan card and your debit/credit card number."
199,Normal,+1-689-691-2417,10:29:40,5,6,I know that my friend already told that.
200,Normal,+1-323-956-6872,14:44:06,3,9,Actually I have done a deal with a trading company and they are going to bring the product for me.
201,Spam,+1-404-830-1715,21:25:06,2,12,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
202,Spam,+1-281-537-3109,19:21:11,1,11,"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603"
203,Normal,+1-714-326-7123,07:11:53,4,4,He took hoch for a walk today and i fell over! Plat! Grazed my knees and everything! Should have stayed at home! See you tomorrow!
204,Spam,+1-310-202-6888,12:43:50,4,6,"Latest News! Police station toilet stolen, corps have nothing to go on!"
205,Normal,+1-689-406-1357,12:46:58,3,13,If my family booking tour package.
206,Spam,+1-346-484-9892,11:21:23,4,14,"Someone has contracted our dating service and entered your phone becausethey fancy you! To find out who it is call from a lanoline 09058098002. PoBox1, W14RG 150p"
207,Normal,+1-424-278-1394,12:58:43,1,8,&it;#&it;  mind but i had to stop somewhere first.
208,Normal,+1-682-375-6588,07:26:14,4,12,Nothing. An...
209,Normal,+1-917-401-5164,15:51:21,4,8,Studying. But i.ll be free next weekend.
210,Spam,+1-470-689-8148,07:08:41,3,3,"Years Tic Sick, and Tom, Fete and ... Sick. In fact, all types try gay chat with photo unload call 08718730666 (up/min). 2 stop texts call 08712460324"
211,Normal,+1-848-602-7503,08:07:11,1,5,"Yes papa, where are you?"
212,Normal,+1-347-688-4095,22:31:09,3,6,We r outside already.
213,Normal,+1-323-810-9175,07:13:18,4,11,"Well, doctor, I have traveled a long distance to consult you. Would you please diagnose my disease?"
214,Normal,+1-281-205-3167,12:41:18,3,6,"Ask g or iouri, I've told the story like ten times already"
215,Scam,+1-954-538-3862,19:52:29,5,15,"Free entry to the gr8prizes wily come 4 a chance to win the latest Foka 8800, PSP or £250 cash every we.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022"
216,Normal,+1-570-373-2394,15:28:43,5,7,Where are you ? You said you would be here when I woke ... :-(
217,Normal,+1-407-407-5042,11:13:20,1,8,"Sorry, I'll call later"
218,Normal,+1-619-222-7061,16:59:48,4,9,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@"
219,Normal,+1-212-666-2813,13:57:20,3,4,"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards."
220,Normal,+1-917-741-7852,20:11:56,2,2,It's ok war. U sleep early too... Site...
221,Normal,+1-212-653-1527,07:01:31,4,14,Our Prasanth tetanus mother passed away last night. Must pray for her and family.
222,Normal,+1-656-332-4815,11:37:25,3,12,Normally i use to drink more water daily:)
223,Normal,+1-551-971-7790,12:58:16,3,4,Finish already... Yar they keep saying i mushy... I so embarrassed ok...
224,Normal,+1-678-923-7970,21:58:36,5,11,Was call me da. That happen.
225,Normal,+1-813-207-4764,12:06:11,1,14,I think just yourself …Thanks and see you too
226,Normal,+1-678-606-9956,20:39:14,2,11,Hey they r not watching movie tonight so i'll prob b home early...
227,Normal,+1-848-436-6618,19:59:33,5,13,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free
228,Normal,+1-470-722-7206,10:10:35,3,10,"I know it's smaller than you wanted, but it's one of the best houses in this locality."
229,Normal,+1-346-248-6747,12:00:35,3,5,He says hi and to get your ass back to south camp (preferably at a eager)
230,Normal,+1-312-888-5959,08:43:21,4,13,Vol I know! Key someone did a great inpersonation of flea on the forms. I love it!
231,Normal,+1-689-687-8398,08:48:51,4,4,Were donna  get some faces.
232,Normal,+1-917-869-6592,11:25:07,1,11,I decided to do it.
233,Normal,+1-212-664-6324,15:15:30,2,13,Can you say what happen
234,Normal,+1-858-487-6154,07:48:12,5,12,You see the requirements please
