,Caller Number,Call Time,Call Type,Conversation
43,+1-702-572-5829,03:25:06,normal,"Well, I’ve been thinking of switching to an industry that has at least few decades of growth left."
44,+1-617-685-4306,13:54:18,normal,No plans yet. What are you doing ?
45,+1-312-785-8725,23:46:54,normal,Tell me they're female : how're you throwing in? We're deciding what all to get now
46,+1-206-243-6352,06:50:19,normal,K...k...yesterday i was in cbe .
47,+1-212-869-5432,04:29:18,normal,Ok lor. I ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?
48,+1-415-625-8464,13:05:04,normal,"Feb  &lt;#&gt;  is ""I LOVE U"" day. Send dis to all ur ""VALUED FRNDS"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr"
49,+1-616-488-8529,03:58:01,normal,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
50,+1-616-407-8412,13:57:07,normal,Finish liao... U?
51,+1-702-841-1116,14:09:36,normal,Hello. Damn this christmas thing. I think i have decided to keep this mp3 that doesnt work.
52,+1-702-504-9179,01:30:30,normal,"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea"
53,+1-616-732-6560,16:33:33,normal,"Ok I understand that you cannot give exactly 512kbps speed, but it'll be somewhere close to it. And why are you talking about submarines and insulation and all ?"
54,+1-919-600-3514,23:36:22,normal,I'm on da bus going home...
55,+1-614-470-2197,10:25:57,normal,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju)
56,+1-206-292-7435,13:01:26,normal,"Well, does the set have all the multimedia features?"
57,+1-503-748-6337,10:21:17,normal,Message:some text missing Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
58,+1-404-843-7254,18:27:52,normal,Hey mr  and I are going to the sea view and having a couple of gays I mean games! Give me a bell when ya finish
59,+1-512-665-4955,06:02:15,normal,"Yes, i'm small kid.. And boost is the secret of my energy.."
60,+1-702-755-8777,16:54:15,normal,Alright took the morphine. Back in yo.
61,+1-312-244-5417,18:05:09,normal,"Merry Christmas to you too babe, i love ya *kisses*."
62,+1-503-404-5449,17:48:49,normal,I told that am coming on wednesday.
63,+1-214-354-6243,13:09:34,normal,Ok i am on the way to home.
64,+1-512-716-4886,14:47:26,normal,Alright i have a new goal now.
65,+1-901-433-9219,14:44:12,fraud,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only
66,+1-404-603-1695,09:05:16,normal,And miss vday the parachute and double coins??? U must not know me very well...
67,+1-214-467-1262,12:37:53,normal,"Hi, my love! How goes that day? Fuck, this morning I woke and dropped my cell on the way down the stairs but it seems alright ... *phews* I miss you !"
68,+1-702-435-4093,10:08:17,normal,"Short But Cute: ""Be a good person, but dont try to prove it.."" .Gud noon...."
69,+1-616-541-5202,22:57:25,fraud,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99
70,+1-702-262-8839,01:55:16,normal,No..but heard about..
71,+1-617-307-3457,10:13:36,normal,"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do"
72,+1-808-990-8473,14:53:45,normal,"Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other shit to deal with that i'm barely keeping myself together once this gets added to it."
73,+1-901-274-5316,17:18:38,normal,Whom you waited for yesterday
74,+1-602-966-2164,08:13:35,normal,Yes... I trust u to buy new stuff ASAP so I can try it out
75,+1-206-941-6762,22:48:56,normal,Guess he wants alone time. We could just show up and watch when they do..
76,+1-213-988-2866,15:09:35,normal,How come u got nothing to do?
77,+1-919-300-2133,17:32:22,normal,Yes princess! I want to please you every night. Your wish is my command...
78,+1-919-231-5920,04:30:16,normal,No but the bluray player can
79,+1-616-829-5593,09:52:49,normal,Yes. I come to nyc for audiitions and am trying to relocate.
80,+1-503-703-9529,20:00:56,normal,"Didn't try, g and I decided not to head out"
81,+1-901-830-3159,08:15:06,normal,I'm sick !! I'm needy !! I want you !! *pouts* *stomps feet* Where are you ?! *pouts* *stomps feet* I want my slave !! I want him now !!
82,+1-808-474-2474,22:10:05,normal,You have got tallent but you are wasting.
83,+1-212-603-8802,20:38:06,normal,Its normally hot mail. Com you see!
84,+1-602-281-4978,08:10:30,normal,"Aight, text me tonight and we'll see what's up"
85,+1-212-837-3180,13:08:05,normal,Just now i came to hme da..
86,+1-404-415-8322,10:47:00,fraud,"you won a lucky draw for shopping on an amazon, provide your bank details for deposit your amount towards logistics charge."
87,+1-617-424-9051,02:27:23,normal,what I meant to say is can't wait to see you again getting bored of this bridgwater banter
88,+1-303-203-2064,07:23:25,normal,"ok, I might come by to night then if my class lets out early."
89,+1-617-977-4448,04:33:20,normal,"(No promises on when though, haven't even gotten dinner yet)"
90,+1-303-430-2334,20:32:18,normal,India have to take lead:)
91,+1-602-430-7460,15:57:26,normal,Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u
92,+1-213-638-3621,15:37:15,normal,I dont understand your message.
93,+1-404-506-2346,05:18:50,normal,"Actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though"
94,+1-303-253-7026,20:15:22,normal,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
95,+1-616-861-1010,00:51:25,normal,Hows that watch resizing
96,+1-503-831-5080,17:29:17,normal,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance.."
97,+1-404-770-6825,04:58:01,normal,"Ha. You don‘t know either. I did a a clever but simple thing with pears the other day, perfect for christmas."
98,+1-312-206-6462,21:57:51,normal,"Almost done, I just need to buy some clothes for my parents. I have got my own two days ago. What about you?"
99,+1-703-457-4866,05:09:51,normal,We will definitely pass on your message to your fans. Could you please tell me something about your upcoming movie?
100,+1-312-808-4710,14:27:40,normal,I said its okay. Sorry
101,+1-901-857-2192,00:49:45,fraud,"hello sir, i am from bank of baroda, sir i have call you for your bank account verification do you want verify your account. sir then tell me your aadhar card number and pan card and your debit/credit card number."
102,+1-206-796-2295,23:43:27,normal,K I'll take care of it
103,+1-404-655-5947,11:34:04,normal,I have gone into get info bt dont know what to do
104,+1-312-237-5190,15:26:19,normal,"I noe la... U wana pei bf oso rite... K lor, other days den..."
105,+1-213-629-8916,19:24:02,normal,Dear where you will be when i reach there
106,+1-305-599-6145,03:54:47,normal,I'm going for lunch now with my family then after date i go str 2 orchard lor.
107,+1-919-857-4588,20:46:42,normal,do u think that any girl will propose u today by seing ur bloody funky shit fucking face...............asssssholeeee................
108,+1-919-907-1685,06:56:05,normal,I wan but too early lei... Me outside now wun b home so early... Neva mind then...
109,+1-212-544-2550,00:27:34,normal,Take us out shopping and Mark will distract Isaiah.=D
110,+1-602-533-6932,07:12:05,normal,If you sending her home first it's ok lor. I'm not ready yet.
111,+1-614-309-8873,22:57:05,normal,Ok lor but not too early. Me still having project meeting now.
112,+1-702-853-8324,04:16:14,normal,All will come alive.better correct any good looking figure there itself..
113,+1-602-617-4390,10:13:59,normal,"Night sweet, sleep well! I've just been to see The Exorcism of Emily Rose and may never sleep again! Hugs and snogs!"
114,+1-503-911-7599,13:57:06,normal,"Oh, is it? How much is the price for that motherboard?"
115,+1-616-800-9929,05:21:04,normal,&lt;#&gt;  mins but i had to stop somewhere first.
116,+1-214-261-8553,07:18:18,normal,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
117,+1-616-692-4602,01:28:56,normal,That's my honeymoon outfit. :)
118,+1-305-330-4199,07:39:16,normal,"Well, I was about to give up cos they all said no they didn‘t do one nighters. I persevered and found one but it is very cheap so i apologise in advance. It is just somewhere to sleep isnt it?"
119,+1-614-397-8817,20:10:36,fraud,to get free access of google cloud account hit on given message box link.
120,+1-404-571-8208,05:12:16,normal,"Brainless Baby Doll..:-D;-), vehicle sariyag drive madoke barolla.."
121,+1-703-339-8680,01:37:52,normal,"Now, whats your house # again ? And do you have any beer there ?"
122,+1-206-458-6832,22:04:12,normal,Sindu got job in birla soft ..
123,+1-206-225-6545,03:20:08,normal,"Uncle G, just checking up on you. Do have a rewarding month"
124,+1-213-719-7014,16:10:58,normal,"Sir, I have been late in paying rent for the past few months and had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thanks"
125,+1-703-990-3509,08:01:30,normal,Now press conference da:)
126,+1-303-916-6518,13:51:21,normal,"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary"
127,+1-512-468-4607,08:36:27,normal,Thanks. Prepositions and reading comprehension are the main problem areas for me.
128,+1-602-470-8610,20:31:24,normal,My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care
129,+1-703-983-9875,02:00:16,normal,Ok no prob... I'll come after lunch then...
130,+1-212-611-2499,23:55:18,normal,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment."
131,+1-602-634-4477,02:45:21,normal,She told to hr that he want posting in chennai:)because i'm working here:)
132,+1-617-419-1642,18:17:52,normal,I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them.
133,+1-305-584-9561,16:47:44,normal,"life alle mone,eppolum oru pole allalo"
134,+1-919-986-9931,17:36:24,normal,OK. But please make sure that this person sitting beside does not smoke.
135,+1-616-311-4465,21:05:39,normal,"Awesome, that gonna be soon or later tonight?"
136,+1-617-789-2774,03:51:09,normal,You should get more chicken broth if you want ramen unless there's some I don't know about
137,+1-702-916-4649,07:44:13,fraud,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd
138,+1-312-241-1562,07:21:54,fraud,RECPT 1/3. You have ordered a Ringtone. Your order is being processed...
139,+1-614-875-4854,14:14:11,normal,"Hmmm... Guess we can go for kb and power yoga.Haha, dunno we can tahan power yoga another... Thanks got loose, forgot."
140,+1-614-896-7692,02:21:12,normal,"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around"
141,+1-602-405-3151,16:57:00,fraud,"Latest News! Police station toilet stolen, cops have nothing to go on!"
142,+1-213-962-2165,00:00:08,normal,I accidentally deleted the message. Resend please.
143,+1-212-517-5135,14:57:12,normal,Been up to ne thing interesting. Did you have a good birthday? When are u wrking nxt? I started uni today.
144,+1-212-404-9353,18:31:15,normal,you reach orchard already? you want to go buy tickets first?
145,+1-305-792-1653,00:06:54,normal,Are you taking help from any special books?
146,+1-614-462-1340,18:12:05,normal,If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/
147,+1-305-447-7651,06:31:06,normal,"Awesome, plan to get here any time after like  &lt;#&gt; , I'll text you details in a wee bit"
148,+1-512-751-6027,16:06:30,normal,Tell them you have a headache and just want to use 1 hour of sick time.
149,+1-702-711-6705,21:07:34,normal,"Yes, unusually long. For sure, we won’t see as many 95+ marks in English this year."
150,+1-503-342-3926,11:48:18,normal,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.
151,+1-616-429-9466,21:05:08,normal,How? Izzit still raining?
152,+1-212-583-2170,19:41:14,normal,Ok.
153,+1-617-380-2780,11:46:34,normal,Quite lor. But dun tell him wait he get complacent...
154,+1-312-212-5980,23:05:24,normal,Boy you best get yo ass out here quick
155,+1-614-476-9318,09:06:05,normal,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..
156,+1-616-624-1014,15:49:34,normal,Ok but tell me half an hr b4 u come i need 2 prepare.
157,+1-303-513-2648,08:48:50,normal,Just got up. have to be out of the room very soon. …. i hadn't put the clocks back till at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.
158,+1-214-653-2446,21:17:53,fraud,Free Msg: Ringtone!From: http://tms. widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05
159,+1-602-588-9866,06:45:40,normal,"I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*"
160,+1-808-593-3300,08:19:44,normal,You tell what happen don't behave like this to me. Ok no need to say
161,+1-212-343-5849,04:54:30,normal,Stupid.its not possible
162,+1-212-243-4782,19:46:14,normal,Your pussy is perfect!
163,+1-702-560-6518,22:09:30,normal,My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?
164,+1-616-911-4308,06:07:00,normal,Wat time do u wan 2 meet me later?
165,+1-702-610-7105,01:58:54,normal,Text her. If she doesnt reply let me know so i can have her log in
166,+1-703-446-7495,22:59:17,normal,I have no money 4 steve mate! !
167,+1-703-742-4350,08:49:39,normal,Dont think you need yellow card for uk travel. Ask someone that has gone before. If you do its just  &lt;#&gt; bucks
168,+1-614-535-2484,17:19:45,normal,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...
169,+1-617-803-6169,20:20:34,normal,Hmmm.but you should give it on one day..
170,+1-901-775-9946,21:14:53,normal,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u.."
171,+1-919-302-5101,20:12:48,normal,Yup bathe liao...
172,+1-212-931-4614,13:00:50,fraud,74355 XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC
173,+1-213-210-7501,17:47:35,normal,"I'm not sure, I was just checking out what was happening around the area"
174,+1-213-836-3741,14:12:53,normal,Now i'm going for lunch.
175,+1-213-458-3675,20:33:20,normal,Neshanth..tel me who r u?
176,+1-213-856-3776,21:02:41,normal,"How long before you get reply, just defer admission til next semester"
177,+1-312-931-2593,00:01:11,normal,Am in gobi arts college
178,+1-614-489-3117,03:22:26,normal,I don't want you to leave. But i'm barely doing what i can to stay sane. fighting with you constantly isn't helping.
179,+1-213-558-7773,07:10:20,normal,Then any special there?
180,+1-702-257-6647,14:20:27,normal,Ok ill send you with in  &lt;DECIMAL&gt;  ok.
181,+1-206-242-9685,17:40:30,normal,I have figured out the problem with your phone. There is a malware in your phone that is apparently responsible for software glitches. Is your phone under warranty?
182,+1-702-203-2773,10:30:05,normal,Arun can u transfr me d amt
183,+1-303-294-1068,10:14:22,fraud,+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm
184,+1-213-662-1516,10:40:13,normal,Yup i'm free...
185,+1-602-535-2310,16:44:00,normal,Sleeping nt feeling well
186,+1-614-897-1960,19:27:16,normal,Sure but since my parents will be working on Tuesday I don't really need a cover story
187,+1-214-920-4332,09:00:22,normal,Enjoy ur life. . Good night
188,+1-702-465-2021,22:03:29,normal,That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?
189,+1-214-857-1044,17:50:06,normal,Here it is pasted behind the seat.
190,+1-919-502-7564,22:57:12,normal,"""SHIT BABE.. THASA BIT MESSED UP.YEH, SHE SHUDVETOLD U. DID URGRAN KNOW?NEWAY, ILLSPEAK 2 U2MORO WEN IM NOT ASLEEP..."""
191,+1-614-228-1065,05:36:40,fraud,todays vodafone numbers ending with 0089(my last four digits) are selected to received a £350 award. If your number matches please call 09063442151 to claim your £350 award
192,+1-213-793-3684,05:25:24,normal,"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that "" &lt;#&gt;  lac crore"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m."""
193,+1-919-287-8737,04:54:27,normal,"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols"
194,+1-919-318-2250,06:05:28,normal,That one week leave i put know that time. Why.
195,+1-616-845-7257,11:12:15,normal,"Goodmorning, Today i am late for  &lt;#&gt; min."
196,+1-901-415-6576,15:16:24,normal,"And how you will do that, princess? :)"
197,+1-415-334-6452,19:34:36,normal,"The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel"
198,+1-303-924-7423,21:21:13,fraud,Sir i can know your atm card number.
199,+1-901-546-4059,19:08:38,normal,I was about to do it when i texted. I finished a long time ago and showered and er'ything!
200,+1-312-277-7677,13:54:33,normal,Sorry that took so long.
201,+1-312-207-7291,06:56:11,normal,I’d like to buy a good mobile phone set. Do you have any new model?
202,+1-901-842-7332,20:42:46,normal,I can't make it tonight
203,+1-415-419-9380,23:55:24,fraud,"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705."
204,+1-512-327-6853,10:57:15,normal,Hi:)cts employee how are you?
205,+1-602-997-5238,16:47:14,normal,4 o'clock at mine. Just to bash out a flat plan.
206,+1-616-220-3675,20:22:14,normal,Hmm .. Bits and pieces lol ... *sighs* ...
207,+1-617-708-3172,15:56:17,normal,Ladies first and genus second k .
208,+1-213-846-6640,03:42:59,normal,Hello! Good week? Fancy a drink or something later?
209,+1-703-272-6125,23:58:32,normal,"Yep, by the pretty sculpture"
210,+1-303-372-4768,16:11:58,normal,"Fyi I'm taking a quick shower, be at epsilon in like  &lt;#&gt;  min"
211,+1-919-386-9790,20:03:06,normal,No he didn't. Spring is coming early yay!
212,+1-404-707-7351,15:27:00,normal,"Yes, here I am. Give me a ticket, please."
213,+1-617-484-7949,16:05:38,normal,Been running but only managed 5 minutes and then needed oxygen! Might have to resort to the roller option!
214,+1-602-962-5961,08:21:08,normal,"Just because I am connected through wifi, the speed cannot reduce by such an extent."
215,+1-808-833-8827,19:23:58,normal,He like not v shock leh. becouse telling shuhui is like telling leona also. Like date almost all know liao. He got ask me about your reaction lor.
216,+1-702-879-2603,13:22:57,normal,The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.
217,+1-901-433-7552,07:43:51,normal,Yo chad which gymnastics class do you wanna take? The site says Christians class is full..
218,+1-305-765-7320,13:15:09,normal,When you came to hostel.
219,+1-214-501-5305,07:33:16,normal,Have you finished work yet?
220,+1-703-702-2388,08:24:02,normal,So when are we going to see you on the big screen next.
221,+1-919-274-8744,00:09:11,normal,She.s find. I sent you an offline message to know how anjola's now.
222,+1-702-639-7521,13:56:04,normal,Lol I have to take it. member how I said my aunt flow didn't visit for 6 months? It's cause I developed ovarian cysts. Bc is the only way to shrink them.
223,+1-212-677-5030,05:46:02,normal,It  is the place where he was murdered.
224,+1-503-279-2589,22:22:17,normal,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8
225,+1-206-444-2743,13:22:23,normal,That's y we haf to combine n c how lor...
226,+1-919-815-6223,08:37:43,fraud,"hello sir, i am from vodafone customer care in 23 hours your sim will be deactivate. do u want to activate it."
227,+1-602-565-2707,00:15:53,normal,"Hey babe, my friend had to cancel, still up for a visit ?"
228,+1-303-924-9924,18:24:56,normal,Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..
229,+1-404-918-4865,20:18:17,fraud,"hello sir we are from covid-19 health care center, for vaccination call 7845963214"
230,+1-616-624-1821,07:48:22,normal,Wake me up at  &lt;#&gt;  am morning:)
231,+1-312-829-6145,07:56:07,normal,Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?
232,+1-919-484-4417,18:14:18,normal,"""Its Ur luck to Love someone. Its Ur fortune to Love the one who Loves U. But, its a miracle to Love a person who can't Love anyone except U..."" Gud nyt..."
233,+1-512-273-3502,12:09:14,normal,All these in this row have the same price and it is two hundred taka each.
234,+1-312-428-2959,08:52:07,normal,"Probably not, still going over some stuff here"
235,+1-303-788-5693,15:54:17,normal,I can take you at like noon
236,+1-312-777-3754,21:31:33,normal,Do I? I thought I put it back in the box
237,+1-404-223-1715,05:57:00,normal,No. I dont want to hear anything
238,+1-614-541-1129,07:52:27,normal,Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.
239,+1-616-206-3350,03:02:11,normal,Jus finish watching tv... U?
240,+1-305-373-8488,13:38:52,normal,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas"
241,+1-312-977-9034,03:48:02,normal,Package all your programs well
242,+1-512-380-9298,19:33:38,fraud,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION"
243,+1-305-586-5773,07:14:48,normal,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice..."
244,+1-213-783-3799,17:19:08,normal,I need to come home and give you some good lovin...
245,+1-214-596-6397,20:21:34,normal,Good Morning plz call me sir
246,+1-512-648-1474,17:31:23,normal,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8
247,+1-702-496-9237,18:49:43,normal,You give us back my id proof and  &lt;#&gt;  rs. We wont allow you to work. We will come to your home within days
248,+1-808-535-6693,02:49:57,normal,Dear we got  &lt;#&gt;  dollars hi hi
249,+1-512-593-7524,02:24:37,normal,Din i tell u jus now 420
250,+1-503-683-3600,11:43:49,normal,Do ü all wan 2 meet up n combine all the parts? How's da rest of da project going?
251,+1-503-587-9577,03:31:10,fraud,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile 08000839402
252,+1-503-871-3530,11:13:58,normal,Dunno lei shd b driving lor cos i go sch 1 hr oni.
253,+1-415-874-8370,07:46:38,normal,Networking job is there.
254,+1-206-670-5238,02:28:29,normal,Remember on that day..
255,+1-512-672-9108,19:49:34,normal,Don no da:)whats you plan?
256,+1-213-880-7781,14:53:38,normal,When is school starting. Where will you stay. What's the weather like. And the food. Do you have a social support system like friends in the school. All these things are important.
257,+1-919-859-2918,14:18:31,normal,Yar... I tot u knew dis would happen long ago already.
258,+1-312-629-4711,01:34:40,normal,I surely dont forgot to come:)i will always be in touch in with you:-)
259,+1-512-442-1319,23:52:38,normal,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!
260,+1-901-646-7984,10:45:54,normal,"I will call you tommarow at ninish, with my address that icky American freek won't stop callin me to bad Jen k eh?"
